# schema=tdi9.3.elasticxxx-c3-carrier.v1
# claim_boundary=non-final-representation-only
# predicate_order=BASE_STOP,VERIFY_BEFORE_STOP,CADENCE_DUE,CHECKPOINT_AVAILABLE,REMAINING_WORK,VERIFIER_VIOLATED,VERIFIER_SATISFIED,VERIFIER_INDETERMINATE,VERIFIER_ABSENT
# bit_order=p0-to-p8-left-to-right
# missing_predicate_semantics=not-represented-by-TDI-binary-carrier
# columns=row	predicates	classification	action
0	000000000	INVALID	-
1	100000000	INVALID	-
2	010000000	INVALID	-
3	110000000	INVALID	-
4	001000000	INVALID	-
5	101000000	INVALID	-
6	011000000	INVALID	-
7	111000000	INVALID	-
8	000100000	INVALID	-
9	100100000	INVALID	-
10	010100000	INVALID	-
11	110100000	INVALID	-
12	001100000	INVALID	-
13	101100000	INVALID	-
14	011100000	INVALID	-
15	111100000	INVALID	-
16	000010000	INVALID	-
17	100010000	INVALID	-
18	010010000	INVALID	-
19	110010000	INVALID	-
20	001010000	INVALID	-
21	101010000	INVALID	-
22	011010000	INVALID	-
23	111010000	INVALID	-
24	000110000	INVALID	-
25	100110000	INVALID	-
26	010110000	INVALID	-
27	110110000	INVALID	-
28	001110000	INVALID	-
29	101110000	INVALID	-
30	011110000	INVALID	-
31	111110000	INVALID	-
32	000001000	UNRECOVERABLE	-
33	100001000	UNRECOVERABLE	-
34	010001000	UNRECOVERABLE	-
35	110001000	UNRECOVERABLE	-
36	001001000	UNRECOVERABLE	-
37	101001000	UNRECOVERABLE	-
38	011001000	UNRECOVERABLE	-
39	111001000	UNRECOVERABLE	-
40	000101000	ACTION	BACKTRACK
41	100101000	ACTION	BACKTRACK
42	010101000	ACTION	BACKTRACK
43	110101000	ACTION	BACKTRACK
44	001101000	ACTION	BACKTRACK
45	101101000	ACTION	BACKTRACK
46	011101000	ACTION	BACKTRACK
47	111101000	ACTION	BACKTRACK
48	000011000	ACTION	CONTINUE
49	100011000	ACTION	CONTINUE
50	010011000	ACTION	CONTINUE
51	110011000	ACTION	CONTINUE
52	001011000	ACTION	CONTINUE
53	101011000	ACTION	CONTINUE
54	011011000	ACTION	CONTINUE
55	111011000	ACTION	CONTINUE
56	000111000	ACTION	BACKTRACK
57	100111000	ACTION	BACKTRACK
58	010111000	ACTION	BACKTRACK
59	110111000	ACTION	BACKTRACK
60	001111000	ACTION	BACKTRACK
61	101111000	ACTION	BACKTRACK
62	011111000	ACTION	BACKTRACK
63	111111000	ACTION	BACKTRACK
64	000000100	ACTION	STOP
65	100000100	ACTION	STOP
66	010000100	ACTION	STOP
67	110000100	ACTION	STOP
68	001000100	ACTION	STOP
69	101000100	ACTION	STOP
70	011000100	ACTION	STOP
71	111000100	ACTION	STOP
72	000100100	ACTION	STOP
73	100100100	ACTION	STOP
74	010100100	ACTION	STOP
75	110100100	ACTION	STOP
